timestamp,project_id,latitude,longitude,distance_km,location_valid,image_valid,status
2025-04-18T11:01:30.012740,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:01:31.695530,project_id_123,23.367311,85.325555,586.13,False,True,Flagged














2025-04-18T11:07:48.569393,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:07:50.056718,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:07:55.039233,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:07:57.659997,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:07:58.514035,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:08:02.974394,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:08:07.135069,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:08:08.503009,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:08:23.938559,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:08:26.777928,project_id_123,23.367311,85.325555,586.13,False,True,Flagged
2025-04-18T11:10:02.941728,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:03.488949,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:09.567982,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:11.727589,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:12.569267,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:13.900584,project_id_789,23.367311,85.325555,0.0,True,True,Valid
2025-04-18T11:10:19.994864,project_id_789,23.367311,85.31,1.59,False,True,Flagged
2025-04-18T11:10:20.896575,project_id_789,23.367311,85.31,1.59,False,True,Flagged
